longitude,latitude
70.0833,22.7833
114.4167,-3.7167
103.5833,1.1167
47.8167,12.8333
47.8733,12.875
104.6917,1.42
103.6167,1.1
117.5667,-0.1
117.5883,-0.26
104.1167,1.25
98.71,3.7917
98.7983,3.9133
104.2667,1.3167
98.7833,3.9
117.6692,-0.2917
98.7833,3.95
98.7667,3.9167
112.65,-7.0833
114.4432,-3.7
106.8908,-6.104
39.2833,-6.8167
54.3833,15.1
104.2667,1.1
104.05,1.2333
106.8833,-6.0333
76.15,9.9333
101.4267,1.71
91.75,22.25
104.5667,1.4167
103.6,1.05
98.6833,3.7833
43.5333,12.4
104.6917,1.355
83.4,17.6167
44.5667,1.1167
106.9267,-5.9983
91.6167,21.0
103.5667,1.1833
91.72,22.2633
91.7333,22.2333
103.5,1.15
103.4333,1.1833
53.3167,14.3333
103.4833,1.1333
105.9167,-5.9833
42.8667,13.3
56.6967,26.4067
104.695,1.41
103.5667,1.1
107.1167,20.8667
104.7167,1.4
104.6333,1.4167
43.4333,12.5917
98.7667,3.9
55.5383,13.9817
43.7167,12.4167
43.7,12.4
104.4233,1.9966
117.5833,-0.2167
76.1417,9.8883
98.7667,3.9167
104.6333,1.4333
104.58,1.4066
100.9,2.9833
91.6667,21.85
104.6867,1.4033
91.6933,22.135
104.585,1.4
104.7908,1.4897
104.6867,1.4067
103.5,1.1667
104.0833,1.2333
104.5867,1.4533
91.7667,22.1333
104.6667,1.4783
91.765,22.2233
104.5333,1.5933
103.4767,1.08
98.7817,3.9267
106.9,-6.0167
104.5167,1.85
104.6167,1.4667
104.8333,1.5
103.5,1.1333
104.45,1.5667
91.7833,21.7167
103.5,1.1333
104.3833,1.3333
112.4333,4.05
106.9,-6.0
104.35,1.2667
104.4317,1.67
111.95,3.95
91.6667,22.4833
83.4,17.6167
108.6217,2.1058
104.6333,2.075
98.7667,3.95
104.575,1.42
103.8667,1.1833
104.6667,1.4
116.7933,-1.2933
104.525,1.5083
106.904,-5.9912
104.7383,1.4217
103.5,1.1167
104.6667,1.4667
105.1333,3.3833
118.48,7.0015
70.0167,22.8
70.05,22.7833
108.4667,1.9833
104.6,1.4333
104.6417,1.4533
104.4833,2.0167
105.1167,1.7333
104.7167,1.4833
91.7667,22.1667
98.7517,3.9183
117.5783,-0.2567
104.2577,1.3257
91.8267,22.2383333
100.0833,5.4017
104.6333,-5.5667
117.6833,-0.2833
104.2667,1.3167
98.7667,3.9
43.2367,12.8767
104.7667,1.55
117.6667,-0.2333
103.5667,1.1667
104.6167,1.4333
91.7167,22.25
106.8833,-6.0833
103.8833,1.2167
106.8833,-6.0167
104.7333,1.4667
104.0667,3.4
70.0167,22.7333
83.3833,17.6667
70.0333,22.7333
70.0,22.75
107.0517,10.2483
104.8333,1.4333
91.7932,22.2166667
98.2,7.1667
98.0,7.2
104.5667,1.4
104.6757,1.4053
56.75,26.25
104.591,1.4035
91.8,21.85
105.4495,3.2176667
104.5667,-5.5833
91.7667,21.7833
112.8928,-5.192
106.75,10.6933
114.4167,-3.7
104.6167,1.4667
106.7667,-5.95
91.7833,21.7667
104.4833,1.4333
105.3,-5.5
103.4667,1.1333
103.5333,1.1667
103.4833,1.1333
91.7833,21.7833
107.1,10.15
104.5167,1.8
104.5833,1.4167
103.5333,1.1
91.7167,22.25
104.5833,1.4
103.55,4.75
103.6,1.08
103.5667,1.2167
117.6,-1.0167
104.6333,1.4667
104.2,1.0667
103.4667,1.0167
104.9167,1.6333
117.5833,-1.2333
103.5,1.1333
107.2333,10.2
104.85,1.4833
107.15,10.25
103.5,1.1167
104.6833,1.4
103.4833,1.1167
91.8,22.1167
76.2543,9.9733
88.1167,20.9167
104.65,1.4333
104.6667,1.4833
104.8217,2.2525
104.5833,1.5167
34.83,-19.8
91.725,22.19
104.6667,1.39
104.1417,1.3167
107.2,20.6833
103.6333,1.0333
104.1667,1.1166667
42.0,15.1
104.16666666666993,1.1166666666667
103.61666666666667,1.1833333333333331
104.16666666666674,1.08
103.9,1.035
103.51666666667006,1.1166666666667
103.53333333333,1.1
106.89744059245118,-5.904670614776062
107.03333333333,10.168611111111
103.64999999999998,1.0333333333333
104.2,1.3280555555555555
106.91666666666993,-6.0166666666667
98.766666666667,3.9166666666667
103.45000000000005,1.1511111111111
107.04999999999995,10.2
106.73999812338091,20.855184554923746
114.46666666667,-3.6833333333333
107.20000000000005,20.683333333333
100.71666666667,3.1833333333333
98.69333333333338,3.788333333333333
106.85000000000002,20.6025
104.65333333333334,2.135
103.43388888888887,1.1672222222222222
103.46666666666668,1.1333333333333333
103.60000000000002,1.0677777777778
107.28333333333332,20.68555555555556
103.56666666666666,1.0666666666666669
119.83333333333331,6.219722222222222
105.83333333333007,1.7175
107.03333333333,10.250833333333
83.41666666666697,17.633333333333
104.26666666667006,1.2666666666667
119.21666666667,6.0
101.48333333332994,1.7002777777778
98.75,3.9333333333333
91.733333333333,22.1
103.96666666667,1.2166666666667
103.56666666667002,1.1166666666667
104.5,2.835
107.18333333333334,20.716666666666665
100.56009525458352,13.707035818753493
103.58333333333007,1.0875
103.43333333332998,1.1666666666667
82.29999999999995,16.983333333333
104.64999999999998,1.45
103.51666666666668,1.1
107.53333333333332,2.15
103.65,1.05
118.08333333333007,5.8
107.0,10.2675
104.61666666666666,1.4166666666666667
103.66666666666674,1.05
103.75,1.1180555555556
104.29999999999995,3.6175
103.66666666666669,1.0666666666666669
104.43944444444443,2.478055555555556
104.03333333333,1.2511111111111
104.18333333332998,1.2902777777778
91.78333333333332,22.116666666666667
91.75,22.1
91.71666666666668,22.183333333333334
104.39999999999998,1.3333333333333333
104.11666666666666,1.25
104.11666666666667,1.2333333333333334
101.4,1.7166666666666668
101.93583333333004,2.2333333333333
98.7,3.783333333333333
103.71666666667,1.0833333333333
103.61666666666666,1.0516666666666667
91.70000000000005,21.800277777778
104.02333333333333,1.2944444444444445
103.65,1.0333333333333334
103.83333333333331,1.1666666666666667
103.66645128038522,1.066913737438387
101.46666666666668,1.7
107.0666666666666,10.221944444444444
70.22313952446007,23.029611919857
110.58333333333331,3.583333333333333
104.04472222222,1.2569444444444
91.70000000000005,21.766666666667
108.85000000000002,8.3175
91.71666666666692,22.2
103.60000000000002,1.0833333333333333
99.89999999999998,4.1333333333333
101.48333333333332,1.7166666666666668
106.89999999999998,-6.033333333333333
107.04999999999995,10.183333333333
103.70000000000005,1.0666666666667
103.65,1.0347222222222223
70.22306442260742,23.02966128873708
91.70000000000005,22.25
104.36666666666667,2.35
107.03333333333332,10.083333333333334
107.03333333333,10.35
103.41666666666993,1.1855555555556
34.83333333333337,-19.816666666666663
91.80628538131714,22.27321199970219
104.45,2.1358333333333333
98.90138888888896,4.0011111111111
105.0,1.5833333333333
103.58611111111112,1.0666666666666669
103.60000000000002,1.0666666666667
103.73333333332994,1.1
103.5,1.1166666666667
98.76666666666668,3.9166666666666665
91.70416666666664,22.166666666666668
91.73472222222222,22.15
103.56666666667002,1.0833333333333
117.66666666666993,-0.3
103.66666666666993,1.05
103.0523783705014,1.0422740821518148
103.73333333332994,1.1
103.41666666666993,1.1841666666667
39.63333333333333,-4.05
103.53333333333,1.1
98.716299533844,3.79485488183348
83.39999999999998,17.674722222222
107.09085693358998,10.170776994995666
106.70000000000005,10.752222222222
101.4675,0.0
39.64120235443113,-4.041482068201828
70.17103678385456,22.83925568089599
70.18988850911433,22.8400107194042
103.64999999999998,1.0522222222222
103.60000000000002,1.0686111111111
103.60000000000002,1.0516666666667
103.9471435546875,1.252341676699629
103.68333333332998,1.0680555555556
98.73333333333332,3.9341666666666666
103.61888888889008,1.0508333333333
101.98333333332994,2.0511111111111
114.46722222222002,-3.7011111111111
103.56666666667002,1.0841666666667
103.54999999999995,1.0855555555556
98.75749999999994,4.0211111111111
103.5,1.1177777777777778
104.11666666666667,1.2516666666666667
107.04999999999995,10.234444444444
98.983333333333,6.2333333333333
103.63333333333333,1.0333333333333334
103.60138888889004,1.0852777777778
103.43333333332998,1.1683333333333
103.73333333333336,1.1
103.48333333332994,1.1666666666667
103.71666666667,1.0666666666667
103.5188888888889,1.0833333333333333
103.53333333333,1.1
103.43333333333334,1.1833333333333331
103.98333333332994,1.2680555555556
103.41666666666993,1.1833333333333
103.56666666666666,1.1422222222222222
103.51666666667006,1.1166666666667
103.9,1.0705555555555557
107.03333333333,10.233333333333
103.51666666667006,1.1
103.55,1.1166666666666667
103.41666666666993,1.1836111111111
103.68333333332998,1.0666666666667
98.75027777777802,3.9336111111111
101.5,1.7027777777778
106.73333333332994,10.769444444444
118.10000000000002,5.8194444444444
98.81666666666706,3.9333333333333
106.88333333333334,-6.024444444444445
118.14999999999998,5.8175
103.58333333333331,1.083888888888889
103.51861111111111,1.1177777777777778
103.5,1.1166666666667
103.43333333332998,1.1691666666667
107.10000000000002,10.101944444444
103.53333333333332,1.1022222222222222
107.21777777777778,20.684722222222224
98.78333333333332,3.883333333333333
103.51666666666668,1.1208333333333331
69.93333333333334,22.666666666666668
70.0333333333333,22.77861111111111
106.75,10.719166666666666
114.43333333333334,-3.7
98.81666666666666,3.9333333333333336
107.05,10.25
98.75,3.9333333333333336
106.91666666666669,-5.841666666666667
107.03333333333332,10.233333333333333
49.0,13.201944444444443
